代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="002093"	国脉科技	-1.89	7.26	-0.14	7.25	7.26	421166	3669	         -0.13	          4.94	7.50	7.65	7.10	7.40	   129.18	309802784	  2.19	电信运营	福建	 7.43	
="000545"	金浦钛业	-1.91	13.90	-0.27	13.84	13.90	62681	400	         -0.07	          4.01	14.15	14.15	13.59	14.17	    93.38	86632464	  0.80	化工原料	吉林	 3.95	
="600221"	海南航空	-1.94	2.53	-0.05	2.53	2.54	6399894	1469	          0.00	          5.42	2.57	2.74	2.45	2.58	    12.24	1663691648	  1.16	空运	海南	11.24	
="601107"	四川成渝	-2.14	3.66	-0.08	3.66	3.67	333316	10	          0.00	          1.54	3.75	3.87	3.60	3.74	     9.85	125174224	  1.64	路桥	四川	 7.22	
="002695"	煌上煌	-2.14	32.86	-0.72	32.85	32.86	20295	221	          0.03	          4.73	33.70	33.99	32.45	33.58	    36.77	66951344	  0.96	食品	江西	 4.59	
="601009"	南京银行	-2.17	11.28	-0.25	11.28	11.29	1805093	791	         -0.08	          6.08	11.53	12.22	10.99	11.53	     6.04	2103707136	  1.92	银行	江苏	10.67	
="600020"	中原高速	-2.17	3.15	-0.07	3.15	3.16	391300	16	          0.31	          1.74	3.25	3.37	3.11	3.22	     9.97	126373816	  1.51	路桥	河南	 8.07	
="600005"	武钢股份	-2.20	2.67	-0.06	2.67	2.68	1666075	27	          0.00	          1.65	2.75	2.85	2.64	2.73	    26.24	456400704	  1.50	普钢	湖北	 7.69	
="600165"	新日恒力	-2.22	9.69	-0.22	9.69	9.70	59983	3	          0.10	          3.09	9.92	10.18	9.60	9.91	--  	59184824	  1.34	钢加工	宁夏	 5.85	
="000725"	京东方Ａ	-2.26	2.60	-0.06	2.60	2.61	3297940	16911	          0.00	          2.87	2.66	2.67	2.58	2.66	    37.10	865496768	  1.07	元器件	北京	 3.38	
="600795"	国电电力	-2.36	2.90	-0.07	2.90	2.91	3486999	286	          0.00	          2.26	2.98	2.99	2.87	2.97	     7.32	1020865728	  0.86	火力发电	辽宁	 4.04	
="000672"	上峰水泥	-2.39	7.35	-0.18	7.35	7.36	94516	485	          0.27	          4.49	7.52	7.60	7.26	7.53	    14.87	70104328	  1.42	水泥	甘肃	 4.52	
="002588"	史丹利	-2.44	30.39	-0.76	30.38	30.39	35170	142	         -0.03	          2.14	31.30	31.48	29.60	31.15	    15.75	105887752	  1.59	农药化肥	山东	 6.04	
="600012"	皖通高速	-2.46	5.16	-0.13	5.15	5.16	96617	6	          0.00	          0.83	5.36	5.37	5.05	5.29	     9.57	50642192	  0.97	路桥	安徽	 6.05	
="600635"	大众公用	-2.48	5.90	-0.15	5.91	5.92	413810	20	         -0.16	          2.52	6.07	6.15	5.83	6.05	    36.08	248983584	  1.47	供气供热	上海	 5.29	
="600033"	福建高速	-2.48	3.14	-0.08	3.14	3.15	778047	10	          0.31	          2.84	3.24	3.32	3.07	3.22	    12.95	248574848	  1.28	路桥	福建	 7.76	
="000623"	吉林敖东	-2.53	21.94	-0.57	21.94	21.95	399873	1324	          0.09	          5.07	22.80	23.37	21.60	22.51	    16.10	902659968	  1.53	中成药	吉林	 7.86	
="000981"	银亿股份	-2.54	11.51	-0.30	11.51	11.52	32195	92	          0.08	          0.38	11.91	12.08	11.08	11.81	    21.09	37876708	  0.85	区域地产	甘肃	 8.47	
="600153"	建发股份	-2.57	7.20	-0.19	7.20	7.21	621467	14	          0.13	          2.19	7.40	7.45	7.10	7.39	     9.73	449724608	  0.83	商贸代理	福建	 4.74	
="600238"	海南椰岛	-2.62	9.29	-0.25	9.27	9.29	145781	16	          0.00	          3.30	9.57	9.57	9.14	9.54	    74.46	135808080	  1.02	红黄药酒	海南	 4.51	
="600449"	宁夏建材	-2.66	10.60	-0.29	10.60	10.61	270165	100	          0.37	         10.77	10.92	11.06	10.34	10.89	    13.67	288529984	  1.09	水泥	宁夏	 6.61	
="600068"	葛洲坝	-2.68	5.09	-0.14	5.08	5.09	1052163	322	          0.19	          3.02	5.28	5.31	5.04	5.23	    10.09	544360704	  0.67	建筑施工	湖北	 5.16	
="600439"	瑞贝卡	-2.73	4.64	-0.13	4.64	4.65	324535	17	          0.00	          3.44	4.80	4.89	4.56	4.77	    25.26	153962320	  1.34	服饰	河南	 6.92	
="600867"	通化东宝	-2.91	17.03	-0.51	17.08	17.09	197285	439	          0.11	          1.93	17.53	17.72	16.80	17.54	    59.99	340798304	  1.34	生物制药	吉林	 5.25	
="002478"	常宝股份	-2.97	12.75	-0.39	12.74	12.75	63413	343	         -0.39	          2.42	13.15	13.17	12.38	13.14	    20.40	80890936	  0.89	普钢	江苏	 6.01	
="002673"	西部证券	-2.97	16.98	-0.52	16.96	16.98	515684	3548	          0.59	          7.50	17.61	18.35	16.51	17.50	    36.31	898947712	  1.26	证券	陕西	10.51	
="002547"	春兴精工	-3.08	17.60	-0.56	17.59	17.60	62124	947	          0.28	          4.32	18.16	18.20	17.21	18.16	    48.97	109252104	  0.61	通信设备	江苏	 5.45	
="600160"	巨化股份	-3.10	6.57	-0.21	6.57	6.58	462048	10	          0.30	          2.55	6.73	6.82	6.40	6.78	    76.67	305176096	  0.59	化工原料	浙江	 6.19	
="000902"	新洋丰	-3.12	13.99	-0.45	13.99	14.00	51745	493	          0.00	          2.01	14.32	14.50	13.90	14.44	    14.68	72972120	  0.80	农药化肥	湖北	 4.16	
="002035"	华帝股份	-3.16	12.89	-0.42	12.88	12.89	129685	90	         -0.92	          4.37	13.60	13.60	12.50	13.31	    17.18	166194128	  2.54	家用电器	广东	 8.26	
="002082"	栋梁新材	-3.16	10.11	-0.33	10.11	10.12	68020	185	          0.19	          3.66	10.41	10.44	10.03	10.44	    23.46	69376000	  0.78	铝	浙江	 3.93	
="600021"	上海电力	-3.18	6.09	-0.20	6.08	6.10	787269	203	         -0.65	          3.68	6.20	6.26	5.96	6.29	    16.03	482103936	  1.16	火力发电	上海	 4.77	
="000528"	柳    工	-3.34	8.10	-0.28	8.10	8.11	599978	3970	          0.00	          5.33	8.39	8.49	7.91	8.38	    38.10	491981856	  0.61	工程机械	广西	 6.92	
="002318"	久立特材	-3.34	25.72	-0.89	25.71	25.72	84884	574	          0.03	          2.85	26.70	26.84	25.35	26.61	    36.75	219309888	  0.94	特钢	浙江	 5.60	
="002508"	老板电器	-3.39	34.20	-1.20	34.18	34.20	20275	54	          0.00	          0.65	35.31	35.31	34.09	35.40	    23.73	69746400	  0.75	家用电器	浙江	 3.45	
="600567"	山鹰纸业	-3.40	2.56	-0.09	2.56	2.57	650391	5	          0.00	          4.10	2.65	2.67	2.52	2.65	    41.81	168950896	  0.88	造纸	安徽	 5.66	
="002036"	宜科科技	-3.41	9.35	-0.33	9.35	9.36	67995	627	          0.32	          2.66	9.69	9.74	9.20	9.68	   166.96	64216488	  1.31	服饰	浙江	 5.58	
="002350"	北京科锐	-3.50	13.80	-0.50	13.80	13.88	61292	340	         -0.64	          2.81	14.23	14.40	13.42	14.30	    54.43	84555216	  1.64	电气设备	北京	 6.85	
="000993"	闽东电力	-3.50	9.65	-0.35	9.65	9.69	49577	362	         -0.51	          1.33	9.98	9.98	9.49	10.00	    30.62	47925520	  0.70	水力发电	福建	 4.90	
="601919"	中国远洋	-3.56	4.88	-0.18	4.87	4.88	1209928	34	          0.41	          1.58	5.09	5.18	4.66	5.06	--  	600798592	  0.84	水运	天津	10.28	
="600897"	厦门空港	-3.60	20.07	-0.75	20.07	20.08	53408	29	         -0.04	          1.79	20.88	21.00	19.90	20.82	    12.40	108350520	  0.84	机场	福建	 5.28	
="002700"	新疆浩源	-3.61	24.29	-0.91	24.28	24.29	86281	917	         -0.04	          9.02	24.91	25.13	23.86	25.20	    54.63	211229232	  1.30	供气供热	新疆	 5.04	
="300259"	新天科技	-3.62	15.70	-0.59	15.69	15.70	47172	810	          1.35	          3.32	16.25	16.25	15.00	16.29	    46.40	73600144	  1.08	电器仪表	河南	 7.67	
="000563"	陕国投Ａ	-3.67	8.66	-0.33	8.66	8.67	428021	2105	          0.00	          5.69	9.01	9.22	8.55	8.99	    32.31	380622944	  0.99	多元金融	陕西	 7.45	
="002075"	沙钢股份	-3.69	4.44	-0.17	4.43	4.44	240376	1484	          0.45	          1.52	4.61	4.70	4.36	4.61	   100.30	108577248	  1.05	特钢	江苏	 7.38	
="600875"	东方电气	-3.82	16.62	-0.66	16.62	16.63	641781	70	         -0.12	          3.86	17.30	17.30	16.20	17.28	    22.93	1075172224	  1.08	电气设备	四川	 6.37	
="600223"	鲁商置业	-3.87	4.97	-0.20	4.97	4.98	138593	20	          0.00	          1.38	5.17	5.26	4.86	5.17	    30.13	69798472	  0.93	区域地产	山东	 7.74	
="000877"	天山股份	-3.91	8.10	-0.33	8.10	8.14	561247	5570	         -0.73	          6.38	8.40	8.40	8.05	8.43	    17.40	460068608	  0.78	水泥	新疆	 4.15	
="000100"	TCL 集团	-3.95	3.16	-0.13	3.16	3.17	3483405	15617	          0.00	          4.28	3.30	3.32	3.13	3.29	    10.09	1118513536	  1.23	家用电器	广东	 5.78	
="000016"	深康佳Ａ	-4.13	6.04	-0.26	6.04	6.05	237954	1484	         -0.16	          3.97	6.30	6.30	5.90	6.30	   114.63	145525536	  1.23	家用电器	深圳	 6.35	
