代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	
="600676"	交运股份	0.81	8.76	0.07	8.75	8.76	168356	41	0.00	          2.15	8.69	8.77	8.59	8.69	    23.75	146194624	  1.01	汽车配件	上海	2.07	8.68	87271	81084	  1.08	737	562	--  	
="300189"	神农大丰	0.78	7.78	0.06	7.77	7.78	303720	3964	0.00	          9.03	7.67	7.90	7.62	7.72	--  	235254240	  0.88	种植业	海南	3.63	7.75	154893	148827	  1.04	1164	374	--  	
="002011"	盾安环境	0.75	10.80	0.08	10.79	10.80	464833	4081	0.00	          5.55	10.70	10.99	10.67	10.72	    59.71	503249792	  1.16	工程机械	浙江	2.99	10.83	222314	242519	  0.92	1564	5293	--  	
="600162"	香江控股	0.74	6.82	0.05	6.81	6.82	286814	30	0.14	          3.74	6.77	6.88	6.68	6.77	    15.98	195048016	  1.05	全国地产	深圳	2.95	6.80	152662	134151	  1.14	986	655	--  	
="002007"	华兰生物	0.72	37.90	0.27	37.89	37.90	116855	1382	0.10	          2.03	37.68	38.59	37.58	37.63	    39.10	442886944	  0.96	生物制药	河南	2.68	37.90	61856	54998	  1.12	1088	24	--  	
="002016"	世荣兆业	0.51	9.79	0.05	9.79	9.80	172279	1536	-0.20	          2.67	9.74	9.90	9.59	9.74	   161.20	168168288	  0.83	区域地产	广东	3.18	9.76	85546	86733	  0.99	359	270	--  	
="000032"	深桑达Ａ	0.48	12.50	0.06	12.49	12.50	76482	405	0.16	          3.28	12.52	12.75	12.37	12.44	--  	95768272	  0.80	元器件	深圳	3.05	12.52	42064	34418	  1.22	39	648	--  	
="600201"	金宇集团	0.47	36.24	0.17	36.22	36.30	33258	4	-0.16	          1.18	36.04	36.62	36.02	36.07	    25.09	120885312	  1.09	生物制药	内蒙	1.66	36.35	16404	16854	  0.97	5	20	--  	
="002557"	洽洽食品	0.28	21.20	0.06	21.20	21.21	51924	703	0.14	          1.54	21.02	21.30	21.02	21.14	    26.02	109892512	  0.52	食品	安徽	1.32	21.16	27588	24335	  1.13	17	128	--  	
="300345"	红宇新材	0.17	23.62	0.04	23.61	23.62	28652	385	0.16	          4.64	23.60	24.18	23.20	23.58	   964.03	67941416	  0.93	钢加工	湖南	4.16	23.71	13925	14726	  0.95	3	486	--  	
="600400"	红豆股份	0.16	6.16	0.01	6.15	6.16	170200	139	0.00	          3.04	6.15	6.22	6.08	6.15	   111.73	104722376	  0.96	服饰	江苏	2.28	6.15	83790	86410	  0.97	124	33	--  	
="000605"	渤海股份	0.16	19.04	0.03	19.03	19.04	21623	315	0.05	          2.45	19.19	19.45	18.80	19.01	    94.67	41194360	  1.06	水务	北京	3.42	19.05	9290	12333	  0.75	51	234	--  	
="600335"	国机汽车	0.09	21.27	0.02	21.27	21.28	90716	3	-0.14	          1.62	21.28	21.36	20.59	21.25	    16.01	190967456	  0.98	汽车配件	天津	3.62	21.05	44942	45774	  0.98	110	178	--  	
="601928"	凤凰传媒	0.00	10.61	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	10.61	    27.58	0	  0.00	出版业	江苏	0.00	10.61	0	0	--  	0	0	--  	
="600986"	科达股份	0.00	7.05	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	7.05	    36.88	0	  0.00	建筑施工	山东	0.00	7.05	0	0	--  	0	0	--  	
="600981"	汇鸿股份	0.00	4.21	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	4.21	    92.48	0	  0.00	商贸代理	江苏	0.00	4.21	0	0	--  	0	0	--  	
="600876"	洛阳玻璃	0.00	7.24	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	7.24	   374.48	0	  0.00	玻璃	河南	0.00	7.24	0	0	--  	0	0	--  	
="600749"	西藏旅游	0.00	12.18	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	12.18	  1161.76	0	  0.00	旅游景点	西藏	0.00	12.18	0	0	--  	0	0	--  	
="600673"	东阳光科	0.00	16.60	0.00	16.59	16.60	191418	20	0.06	          2.33	16.60	16.94	16.38	16.60	   105.50	319339840	  1.29	铝	广东	3.37	16.68	108462	82956	  1.31	306	9	--  	
="600617"	国新能源	0.00	30.09	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	30.09	    42.79	0	  0.00	供气供热	山西	0.00	30.09	0	0	--  	0	0	--  	
="600575"	皖江物流	0.00	4.11	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	4.11	--  	0	  0.00	港口	安徽	0.00	4.11	0	0	--  	0	0	--  	
="600569"	安阳钢铁	0.00	2.32	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	2.32	    78.40	0	  0.00	普钢	河南	0.00	2.32	0	0	--  	0	0	--  	
="600517"	置信电气	0.00	12.45	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	12.45	    84.39	0	  0.00	电气设备	上海	0.00	12.45	0	0	--  	0	0	--  	
="600369"	西南证券	0.00	10.54	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	10.54	    25.05	0	  0.00	证券	重庆	0.00	10.54	0	0	--  	0	0	--  	
="600365"	通葡股份	0.00	11.38	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	11.38	  5686.21	0	  0.00	红黄药酒	吉林	0.00	11.38	0	0	--  	0	0	--  	
="600318"	巢东股份	0.00	11.20	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	11.20	    17.93	0	  0.00	水泥	安徽	0.00	11.20	0	0	--  	0	0	--  	
="600241"	时代万恒	0.00	8.28	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	8.28	--  	0	  0.00	商贸代理	辽宁	0.00	8.28	0	0	--  	0	0	--  	
="600105"	永鼎股份	0.00	9.86	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	9.86	    22.23	0	  0.00	通信设备	江苏	0.00	9.86	0	0	--  	0	0	--  	
="600103"	青山纸业	0.00	3.66	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	3.66	   601.14	0	  0.00	造纸	福建	0.00	3.66	0	0	--  	0	0	--  	
="600091"	ST明科	0.00	7.02	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	7.02	--  	0	  0.00	化工原料	内蒙	0.00	7.02	0	0	--  	0	0	--  	
="600090"	啤酒花	0.00	8.13	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	8.13	    36.46	0	  0.00	啤酒	新疆	0.00	8.13	0	0	--  	0	0	--  	
="300332"	天壕节能	--  	14.06	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.06	    40.57	0	  0.00	环境保护	北京	0.00	14.06	0	0	--  	0	0	--  	
="300313"	天山生物	--  	23.69	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.69	   258.62	0	  0.00	农业综合	新疆	0.00	23.69	0	0	--  	0	0	--  	
="300013"	新宁物流	--  	9.26	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.26	   131.57	0	  0.00	仓储物流	江苏	0.00	9.26	0	0	--  	0	0	--  	
="002700"	新疆浩源	--  	25.29	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	25.29	    56.88	0	  0.00	供气供热	新疆	0.00	25.29	0	0	--  	0	0	--  	
="002608"	舜天船舶	--  	12.79	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.79	    86.27	0	  0.00	船舶	江苏	0.00	12.79	0	0	--  	0	0	--  	
="002558"	世纪游轮	--  	31.65	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	31.65	   271.60	0	  0.00	旅游服务	重庆	0.00	31.65	0	0	--  	0	0	--  	
="002529"	海源机械	--  	15.03	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.03	--  	0	  0.00	专用机械	福建	0.00	15.03	0	0	--  	0	0	--  	
="002509"	天广消防	--  	12.27	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.27	    51.77	0	  0.00	专用机械	福建	0.00	12.27	0	0	--  	0	0	--  	
