代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	
="600369"	西南证券	0.00	10.54	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	10.54	    25.05	0	  0.00	证券	
="600365"	通葡股份	0.00	11.38	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	11.38	  5686.21	0	  0.00	红黄药酒	
="600318"	巢东股份	0.00	11.20	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	11.20	    17.93	0	  0.00	水泥	
="600275"	武昌鱼	0.00	5.64	0.00	5.64	5.65	115843	6	0.17	          2.28	5.61	5.69	5.60	5.64	--  	65454420	  0.81	农业综合	
="600241"	时代万恒	0.00	8.28	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	8.28	--  	0	  0.00	商贸代理	
="600105"	永鼎股份	0.00	9.86	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	9.86	    22.23	0	  0.00	通信设备	
="600103"	青山纸业	0.00	3.66	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	3.66	   601.14	0	  0.00	造纸	
="600091"	ST明科	0.00	7.02	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	7.02	--  	0	  0.00	化工原料	
="600090"	啤酒花	0.00	8.13	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	8.13	    36.46	0	  0.00	啤酒	
="300332"	天壕节能	--  	14.06	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.06	    40.57	0	  0.00	环境保护	
="300313"	天山生物	--  	23.69	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.69	   258.62	0	  0.00	农业综合	
="300189"	神农大丰	0.00	7.65	0.00	7.64	7.65	232161	1621	0.13	          6.90	7.63	7.78	7.61	7.65	--  	178666400	  0.82	种植业	
="300013"	新宁物流	--  	9.26	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.26	   131.57	0	  0.00	仓储物流	
="002700"	新疆浩源	--  	25.29	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	25.29	    56.88	0	  0.00	供气供热	
="002608"	舜天船舶	--  	12.79	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.79	    86.27	0	  0.00	船舶	
="002558"	世纪游轮	--  	31.65	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	31.65	   271.60	0	  0.00	旅游服务	
="002529"	海源机械	--  	15.03	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.03	--  	0	  0.00	专用机械	
="002509"	天广消防	--  	12.27	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.27	    51.77	0	  0.00	专用机械	
="002426"	胜利精密	--  	11.26	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.26	    68.41	0	  0.00	元器件	
="002333"	罗普斯金	--  	14.36	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	14.36	    59.02	0	  0.00	铝	
="002324"	普利特	--  	19.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	19.90	    26.33	0	  0.00	塑料	
="002323"	中联电气	--  	21.95	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	21.95	   130.92	0	  0.00	电气设备	
="002168"	深圳惠程	--  	10.13	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.13	--  	0	  0.00	电气设备	
="002103"	广博股份	--  	10.18	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.18	   172.72	0	  0.00	文教休闲	
="002044"	江苏三友	--  	10.04	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.04	    43.13	0	  0.00	服饰	
="002009"	天奇股份	--  	16.30	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.30	    47.89	0	  0.00	工程机械	
="002006"	*ST精功	--  	8.75	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.75	--  	0	  0.00	工程机械	
="000920"	南方汇通	--  	13.23	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.23	    31.50	0	  0.00	运输设备	
="000796"	易食股份	--  	7.23	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.23	    95.94	0	  0.00	食品	
="000795"	太原刚玉	--  	10.92	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.92	--  	0	  0.00	矿物制品	
="000710"	天兴仪表	--  	13.60	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.60	--  	0	  0.00	汽车配件	
="000627"	天茂集团	--  	4.10	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	4.10	    28.37	0	  0.00	化工原料	
="000533"	万 家 乐	--  	5.97	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.97	    35.25	0	  0.00	家用电器	
="000516"	开元投资	--  	9.85	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.85	    26.71	0	  0.00	百货	
="000514"	渝 开 发	--  	7.08	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.08	    36.98	0	  0.00	区域地产	
="000498"	山东路桥	--  	4.64	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	4.64	    27.67	0	  0.00	建筑施工	
="002557"	洽洽食品	-0.05	21.41	-0.01	21.41	21.42	58146	722	0.23	          1.72	21.42	21.69	21.30	21.42	    26.28	124809168	  0.45	食品	
="002685"	华东重机	-0.28	14.10	-0.04	14.10	14.11	77212	1030	0.14	          7.76	14.14	14.25	13.87	14.14	   450.38	108785072	  0.60	工程机械	
="600033"	福建高速	-0.30	3.30	-0.01	3.30	3.31	630844	111	0.00	          2.30	3.30	3.31	3.25	3.31	    13.61	207066128	  0.89	路桥	
="600897"	厦门空港	-0.52	21.22	-0.11	21.20	21.21	72468	52	0.09	          2.43	21.21	21.38	21.06	21.33	    13.11	153829040	  1.15	机场	
="002315"	焦点科技	-0.54	65.00	-0.35	65.00	65.21	49834	273	-0.36	          8.28	64.50	66.55	63.00	65.35	    61.07	322789120	  1.17	互联网	
="002461"	珠江啤酒	-0.55	16.19	-0.09	16.18	16.19	46988	591	0.30	          0.69	16.25	16.48	16.02	16.28	   137.64	76042272	  0.85	啤酒	
="601058"	赛轮股份	-0.60	18.31	-0.11	18.28	18.30	45464	10	0.05	          1.20	18.10	18.49	18.09	18.42	    24.14	83214416	  1.04	汽车配件	
="002567"	唐人神	-0.79	10.03	-0.08	10.03	10.04	54228	312	0.19	          1.29	10.00	10.17	9.95	10.11	    55.02	54669884	  0.53	饲料	
="000089"	深圳机场	-0.85	5.81	-0.05	5.81	5.82	252370	2037	0.34	          1.49	5.75	5.98	5.64	5.86	    38.42	145914768	  1.01	机场	
="600300"	维维股份	-0.86	5.74	-0.05	5.73	5.74	330981	43	0.34	          1.98	5.81	5.82	5.67	5.79	    85.12	189669648	  0.59	软饮料	
="000021"	长城开发	-0.97	8.19	-0.08	8.19	8.20	317650	3449	-0.12	          2.16	8.18	8.29	8.08	8.27	    65.89	259958448	  0.66	电脑设备	
="601007"	金陵饭店	-1.00	11.85	-0.12	11.86	11.90	44529	13	0.08	          1.48	11.84	12.14	11.78	11.97	   135.57	53346556	  1.01	酒店餐饮	
="300072"	三聚环保	-1.36	26.76	-0.37	26.75	26.76	406302	2288	0.22	          8.86	27.50	28.15	24.42	27.13	    36.41	1061552768	  6.41	化工原料	
="300145"	南方泵业	-1.37	25.88	-0.36	25.88	25.90	25642	215	-0.03	          1.47	25.93	27.35	25.78	26.24	    37.33	67632496	  1.10	专用机械	
="000525"	红 太 阳	-4.74	16.68	-0.83	16.68	16.69	263647	3120	0.00	          5.20	17.50	17.50	15.76	17.51	    15.94	439909280	  4.15	农药化肥	
数据来源:通达信
