代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="000777"	中核科技	1.03	27.56	0.28	27.55	27.56	812466	10779	         -0.50	         21.19	28.00	28.48	25.82	27.28	   151.65	2205372672	  1.37	机械基件	江苏	 9.75	
="600579"	天华院	1.02	9.94	0.10	9.86	9.93	70192	29	          1.84	          2.75	9.90	9.99	9.36	9.84	   189.14	67257952	  1.24	化工机械	山东	 6.40	
="600030"	中信证券	0.99	14.26	0.14	14.26	14.27	6322146	272	         -0.27	          6.44	14.50	14.88	14.05	14.12	    18.51	9191442432	  1.90	证券	深圳	 5.88	
="600860"	*ST京城	0.99	7.16	0.07	7.15	7.16	63765	25	          0.28	          1.98	7.05	7.44	7.05	7.09	    25.03	46281900	  3.32	专用机械	北京	 5.50	
="600595"	中孚实业	0.98	6.20	0.06	6.20	6.21	338491	246	          0.48	          2.23	6.10	6.25	5.94	6.14	    49.49	206211456	  0.96	铝	河南	 5.05	
="600742"	一汽富维	0.93	28.19	0.26	28.18	28.19	101887	19	         -0.31	          4.82	28.41	29.27	28.01	27.93	    11.22	289260576	  2.70	汽车配件	吉林	 4.51	
="000060"	中金岭南	0.93	7.62	0.07	7.61	7.62	434744	4547	          0.00	          2.11	7.55	7.87	7.48	7.55	    28.75	333637120	  1.86	铅锌	深圳	 5.17	
="603005"	晶方科技	0.92	49.25	0.45	49.23	49.27	24538	2	          0.14	          4.33	48.70	50.09	48.33	48.80	    61.77	121296320	  1.50	半导体	江苏	 3.61	
="600276"	恒瑞医药	0.92	38.34	0.35	38.34	38.36	84320	36	          0.36	          0.56	38.01	38.40	37.60	37.99	    38.72	320564256	  1.20	化学制药	江苏	 2.11	
="600135"	乐凯胶片	0.91	14.43	0.13	14.40	14.41	421378	5	          0.48	         12.32	14.23	14.55	14.05	14.30	   147.85	601938432	  2.13	化工原料	河北	 3.50	
="002417"	三元达	0.87	10.42	0.09	10.42	10.43	62605	309	          0.00	          3.08	10.30	10.80	10.20	10.33	--  	65498236	  1.77	通信设备	福建	 5.81	
="000035"	中国天楹	0.86	12.88	0.11	12.88	12.89	52289	1635	          0.62	          2.77	12.85	13.00	12.50	12.77	    60.24	66633872	  1.23	通信设备	深圳	 3.92	
="600340"	华夏幸福	0.86	28.15	0.24	28.08	28.09	116804	3	         -0.03	          0.88	27.73	28.59	27.49	27.91	     9.90	328818048	  0.83	区域地产	河北	 3.94	
="002378"	章源钨业	0.86	19.95	0.17	19.95	19.96	43056	711	          0.00	          1.01	19.78	20.30	19.52	19.78	   106.55	86061600	  2.46	小金属	江西	 3.94	
="600029"	南方航空	0.83	3.65	0.03	3.66	3.67	1935880	50	          0.00	          2.76	3.65	3.89	3.50	3.62	    21.40	715320768	  1.52	空运	广东	10.77	
="600765"	中航重机	0.82	23.24	0.19	23.25	23.26	179418	117	          0.64	          2.31	23.05	23.50	22.75	23.05	   114.27	415613920	  1.60	机械基件	贵州	 3.25	
="000538"	云南白药	0.82	54.24	0.44	54.24	54.25	197272	2067	          0.07	          1.89	53.90	54.97	53.31	53.80	    21.78	1067484992	  2.08	中成药	云南	 3.09	
