代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	
="300114"	中航电测	6.97	35.30	2.30	35.29	35.30	57153	1164	-0.02	          3.66	33.30	35.99	31.20	33.00	   100.23	196725856	  2.98	元器件	陕西	14.52	34.42	28361	28791	  0.99	162	0	--  	
="600877"	中国嘉陵	6.95	8.46	0.55	8.46	8.47	689237	42	-0.23	         10.03	7.89	8.64	7.68	7.91	   223.95	567965696	  2.82	摩托车	重庆	12.14	8.24	291317	397920	  0.73	986	1132	--  	
="000507"	珠海港	6.94	9.40	0.61	9.39	9.40	1084548	14759	0.10	         14.05	8.80	9.56	8.37	8.79	--  	981086784	  2.01	港口	广东	13.54	9.05	513734	570813	  0.90	1644	1101	--  	
="002023"	海特高新	6.86	26.32	1.69	26.32	26.33	278680	2440	0.07	         10.21	24.67	26.58	23.50	24.63	    60.75	707027456	  2.10	航空	四川	12.51	25.37	129731	148948	  0.87	410	84	--  	
="300142"	沃森生物	6.78	46.48	2.95	46.48	46.49	52812	338	0.10	          3.18	43.31	47.88	42.39	43.53	--  	236637680	  2.22	生物制药	云南	12.61	44.81	18288	34524	  0.53	5	33	--  	
="002311"	海大集团	6.76	11.68	0.74	11.67	11.68	562852	3343	0.17	          5.62	12.00	12.00	11.25	10.94	    17.37	653660288	  5.28	饲料	广东	6.86	11.61	263763	299089	  0.88	362	345	--  	
="600521"	华海药业	6.70	16.08	1.01	16.07	16.08	376977	28	0.56	          4.83	15.05	16.58	14.95	15.07	    46.81	597838976	  3.53	化学制药	浙江	10.82	15.86	168627	208350	  0.81	609	29	--  	
="600588"	用友软件	6.65	28.85	1.80	28.88	28.90	887136	27	-0.06	          7.65	29.00	29.76	26.62	27.05	--  	2541687296	  2.04	软件服务	北京	11.61	28.65	435628	451507	  0.96	94	368	--  	
="300004"	南风股份	6.44	42.50	2.57	42.50	42.52	50539	1014	-0.11	          3.68	40.00	43.76	38.80	39.93	   131.77	207530592	  2.31	电气设备	广东	12.42	41.06	19659	30880	  0.64	39	17	--  	
="600638"	新黄浦	6.37	16.87	1.01	16.87	16.88	208725	141	-0.47	          3.72	16.06	17.25	16.06	15.86	    95.91	348248320	  2.46	区域地产	上海	7.50	16.68	98634	110090	  0.90	222	9	--  	
="600225"	天津松江	6.22	9.05	0.53	9.06	9.07	411139	1470	1.68	          6.65	8.49	9.15	7.76	8.52	--  	353188416	  1.76	区域地产	天津	16.31	8.59	185507	225631	  0.82	529	162	--  	
="002151"	北斗星通	6.22	43.91	2.57	43.91	43.92	204729	1370	-0.09	         15.14	41.48	44.40	39.39	41.34	   970.54	872019200	  3.18	通信设备	北京	12.12	42.59	96290	108438	  0.89	508	25	--  	
="600325"	华发股份	6.14	14.00	0.81	14.00	14.02	743526	20	0.35	          9.10	13.25	14.30	11.92	13.19	    31.69	994297856	  1.40	区域地产	广东	18.04	13.37	368520	375006	  0.98	133	101	--  	
="600755"	厦门国贸	6.06	11.55	0.66	11.55	11.56	2621519	130	-0.08	         19.70	10.76	11.80	10.59	10.89	    20.03	2945272064	  1.85	商贸代理	福建	11.11	11.23	1272122	1349397	  0.94	237	4591	--  	
="002462"	嘉事堂	6.04	25.11	1.43	25.10	25.11	152721	982	0.31	          7.80	23.71	25.90	23.65	23.68	    23.34	378872704	  4.45	医药商业	北京	9.50	24.81	82325	70395	  1.17	238	3	--  	
