代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	
="600497"	驰宏锌锗	-5.64	12.21	-0.73	12.21	12.22	745417	2	-0.32	          4.47	12.95	12.96	11.70	12.94	    99.87	921268160	  1.25	铅锌	云南	9.74	12.36	388115	357302	  1.09	69	602	--  	
="300072"	三聚环保	-5.64	25.24	-1.51	25.23	25.24	149000	2376	0.15	          3.25	26.50	26.57	24.90	26.75	    34.34	380021312	  0.84	化工原料	北京	6.24	25.50	77985	71015	  1.10	21	676	--  	
="600449"	宁夏建材	-5.79	10.41	-0.64	10.41	10.42	199780	150	-0.19	          7.97	11.05	11.15	10.21	11.05	    13.42	211717264	  1.27	水泥	宁夏	8.51	10.60	127233	72546	  1.75	200	136	--  	
="600223"	鲁商置业	-5.83	5.33	-0.33	5.33	5.34	221393	4	0.00	          2.21	5.67	5.68	5.10	5.66	    32.31	119074680	  1.12	区域地产	山东	10.25	5.38	138825	82568	  1.68	904	2516	--  	
="600067"	冠城大通	-5.87	7.38	-0.46	7.38	7.39	461790	79	-0.40	          3.88	7.79	7.89	7.31	7.84	    19.33	350239904	  0.78	全国地产	福建	7.40	7.58	245093	216696	  1.13	565	182	--  	
="601777"	力帆股份	-5.98	9.90	-0.63	9.90	9.91	329752	10	-0.50	          3.39	10.40	10.45	9.55	10.53	    23.34	330104608	  1.21	摩托车	重庆	8.55	10.01	179842	149909	  1.20	175	699	--  	
="600783"	鲁信创投	-5.99	23.87	-1.52	23.88	23.89	485611	37	0.12	          6.52	24.88	25.40	22.99	25.39	    41.77	1174238208	  1.17	矿物制品	山东	9.49	24.18	248712	236899	  1.05	5	74	--  	
="000877"	天山股份	-6.15	7.94	-0.52	7.94	7.95	616689	5296	-0.37	          7.01	8.52	8.58	7.80	8.46	    17.06	500808352	  1.57	水泥	新疆	9.22	8.12	343551	273138	  1.26	2468	3520	--  	
="002220"	天宝股份	-6.18	8.81	-0.58	8.81	8.82	155951	900	0.11	          4.00	9.39	9.40	8.70	9.39	    23.78	139033376	  1.41	食品	辽宁	7.45	8.92	101973	53977	  1.89	232	600	--  	
="000401"	冀东水泥	-6.31	10.55	-0.71	10.54	10.55	500122	1075	0.00	          4.13	11.12	11.49	10.13	11.26	   514.07	525678208	  1.39	水泥	河北	12.08	10.51	251595	248527	  1.01	3	2777	--  	
="000021"	长城开发	-6.55	7.56	-0.53	7.56	7.57	502427	4497	0.26	          3.42	8.08	8.19	7.40	8.09	    60.82	389191456	  1.34	电脑设备	深圳	9.77	7.75	288885	213541	  1.35	485	757	--  	
="002075"	沙钢股份	-7.00	5.18	-0.39	5.18	5.19	420771	1189	-0.19	          2.67	5.53	5.57	5.10	5.57	   117.02	222605056	  1.16	特钢	江苏	8.44	5.29	267550	153220	  1.75	2238	1106	--  	
="000032"	深桑达Ａ	-7.12	11.61	-0.89	11.61	11.62	99619	1131	-0.34	          4.28	12.41	12.45	11.50	12.50	--  	118506432	  1.15	元器件	深圳	7.60	11.90	59122	40497	  1.46	113	204	--  	
数据来源:通达信
